Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Belarus,BLR,28735090127.7189,30092911067.429,31611178874.4356,33837615109.4513,37711935052.1133,41256857576.2153,45382541131.6249,49285442638.7848,54312557592.8877,54421180122.0475,58665088956.0255,61820512466.141,62863508300.7594,63494325276.0969,64590481690.9209,62116943620.6317,60547592312.6721,62013997098.9821,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Belgium,BEL,411797007026.657,415138919310.621,422530493925.208,425803276682.695,441279866082.047,450521469885.385,461812169170.948,477739949852.491,481481480330.318,470632861743.554,483548031197.108,492243688300.301,493399461340.966,494389469549.126,500783236684.815,507929197181.313,515102640677.261,524012714948.032,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Belize,BLZ,949011339.40932,996609808.666379,1047635085.31241,1145357976.24016,1198595214.82731,1229495105.0487,1285825657.33008,1300041567.419,1342018033.27385,1351020310.06112,1396731700,1426937515.02326,1468858265.53273,1481371977.7259,1536069733.92865,1588786886.58966,1579444443.95268,1602145624.35887,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Benin,BEN,4766643561.74839,5020725247.66353,5253911326.863,5434858389.27326,5675602453.88052,5772744795.73959,6000595826.4159,6359822426.97484,6670811297.13694,6826194585.37376,6970240895.49888,7176751732.08258,7522418417.64518,8063258961.67978,8575423619.90242,8755148067.02613,9102277422.82945,9633652295.47865,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Bermuda,BMU,4945919646.2653,5303135527.75517,5224766301.37623,5402967729.76868,5528385008.41416,5620941625.4668,5932559093.07918,6101393205.83452,6194616021.02816,5867281536.74729,5744414000,5552579615.57093,5284137923.53055,5151445059.9242,..,..,..,..,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Bhutan,BTN,688733275.071953,745235395.466464,825183060.874733,888427847.119336,940813179.477384,1007823159.38045,1076852655.51349,1269887377.45454,1330440105.87773,1419010481.1982,1585472534.10547,1710580806.57351,1797336501.23336,1835844373.82886,1941321989.27355,2070314376.30943,2236397091.16322,2339922180.01249,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Bolivia,BOL,13481211733.9622,13708208503.73,14048934915.4679,14429849406.7446,15032049492.1373,15696681754.5709,16449653017.8603,17200478143.0285,18258049059.1816,18870971995.9564,19649724655.4886,20672314545.3975,21731207275.1952,23208062665.3852,24475355115.315,25664169101.2128,26758468587.3794,27881041739.7675,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Bosnia and Herzegovina,BIH,11310743278.9328,11808415927.4057,12434262003.1151,12931632491.3659,13720457777.4768,14922267894.6299,15730647389.4494,16651768808.8305,17555414776.1901,17028269113.564,17176781336.7644,17341498611.7695,17198998442.4731,17603071036.7712,17805439832.058,18353281641.4979,18930321663.1679,19533480056.8836,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Botswana,BWA,8563534596.26097,8584992576.02696,9106061350.41439,9527298168.17184,9785089872.92033,10230961745.6804,11086666195.2035,12004283368.7509,12754003367.4123,11778027466.4962,12786654365.8738,13560031674.6853,14164289360.2583,15771004794.7832,16425383650.6027,16146491230.1971,16843290880.1571,17240806145.124,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brazil,BRA,1538900699686.93,1560181111439.24,1607829299910.86,1626156734970.79,1719895102552.35,1774870932268.27,1845107843393.43,1956927902720.43,2056552321671.49,2053965689829.48,2208871646202.82,2296901313455.03,2341302893954.86,2411783265631.78,2424040195497.99,2337992410593.76,2256907026242.19,2278936372567.31,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant 2010 US$),NY.GDP.MKTP.KD,Brunei Darussalam,BRN,11971150348.3682,12299643564.3564,12775897689.769,13146904070.407,13213206307.2974,13264408434.1768,13847739933.9934,13869146021.2688,13600124165.7499,13360145141.1808,13707370737.0737,14220755408.8742,14350568390.1724,14045471213.788,13715438210.4877,13637697103.0436,13301457645.7646,13478200979.2483,..
